"","Bmean","Lower","Upper","n","Especie","Variable"
"dB1",12.797292,12.58,13.03,10,"funerea","Culmen"
"dB2",12.858968,12.61,13.07,10,"angolensis","Culmen"
"dB3",14.69689,14.1666666666667,15.2666666666667,6,"crassirostris","Culmen"
"dB4",8.710702,8.44,9.02,10,"funerea","Bill..tip.to.nostril."
"dB5",8.641578,8.48,8.81,10,"angolensis","Bill..tip.to.nostril."
"dB6",10.1377633333333,9.57833333333333,10.8416666666667,6,"crassirostris","Bill..tip.to.nostril."
"dB7",7.48001,7.32,7.68,10,"funerea","Maxilla.width"
"dB8",7.801294,7.62,7.99,10,"angolensis","Maxilla.width"
"dB9",8.71519333333333,8.28333333333333,9.26666666666667,6,"crassirostris","Maxilla.width"
"dB10",9.54217,9.34,9.73,10,"funerea","Mandible.width"
"dB11",9.502212,9.28,9.73,10,"angolensis","Mandible.width"
"dB12",11.8344,11.3,12.45,6,"crassirostris","Mandible.width"
"dB13",10.191218,9.95,10.48,10,"funerea","Bill.height"
"dB14",10.360332,10.15,10.58,10,"angolensis","Bill.height"
"dB15",12.3299766666667,12.05,12.75,6,"crassirostris","Bill.height"
"dB16",55.136302,54.12,56.2,10,"funerea","Wing"
"dB17",54.560992,53.54,55.67,10,"angolensis","Wing"
"dB18",65.5440166666667,63.7,67.55,6,"crassirostris","Wing"
"dB19",50.65683,48.42,53.23,10,"funerea","Tail"
"dB20",54.233438,52.74,56.03025,10,"angolensis","Tail"
"dB21",59.3176566666667,54.1666666666667,64.55,6,"crassirostris","Tail"
"dB22",15.521334,15.34,15.7,10,"funerea","Tarsus"
"dB23",15.33079,15.24,15.41,10,"angolensis","Tarsus"
"dB24",16.7483656666667,16.3816666666667,17.1116666666667,6,"crassirostris","Tarsus"
